"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"Legais, Voluntárias e Específicas";"2589 - AVALIACAO E OPERACIONALIZACAO DO BENEFICIO DE PRESTACAO CONTINUADA (BPC) E MANUTENCAO DA RENDA MENSAL VITALICIA (RMV)";"BPC";"Fundo Público";"AM";"BERURI";"R$ 80,00";
"Legais, Voluntárias e Específicas";"2589 - AVALIACAO E OPERACIONALIZACAO DO BENEFICIO DE PRESTACAO CONTINUADA (BPC) E MANUTENCAO DA RENDA MENSAL VITALICIA (RMV)";"BPC";"Fundo Público";"AM";"IRANDUBA";"R$ 120,00";
"Legais, Voluntárias e Específicas";"2589 - AVALIACAO E OPERACIONALIZACAO DO BENEFICIO DE PRESTACAO CONTINUADA (BPC) E MANUTENCAO DA RENDA MENSAL VITALICIA (RMV)";"BPC";"Fundo Público";"AM";"MANICORÉ";"R$ 120,00";
"Legais, Voluntárias e Específicas";"00PX - TRANSFERENCIA DE RECURSOS ARRECADADOS POR TAXA DE OCUPACAO, FORO E LAUDEMIO";"Sem informação";"Administração Pública Municipal";"AM";"COARI";"R$ 202,42";
"Legais, Voluntárias e Específicas";"2589 - AVALIACAO E OPERACIONALIZACAO DO BENEFICIO DE PRESTACAO CONTINUADA (BPC) E MANUTENCAO DA RENDA MENSAL VITALICIA (RMV)";"BPC";"Fundo Público";"AM";"COARI";"R$ 240,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"LÁBREA";"R$ 1.490,00";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"NOVO AIRÃO";"R$ 1.697,16";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"SÃO PAULO DE OLIVENÇA";"R$ 2.175,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"CAREIRO";"R$ 2.572,50";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"TEFÉ";"R$ 2.800,00";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"HUMAITÁ";"R$ 2.800,00";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"COARI";"R$ 2.800,00";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"PRESIDENTE FIGUEIREDO";"R$ 2.800,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"SILVES";"R$ 3.071,55";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"MARAÃ";"R$ 3.538,51";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"FONTE BOA";"R$ 3.570,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"NOVO AIRÃO";"R$ 3.585,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"CANUTAMA";"R$ 3.663,03";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"NOVO AIRÃO";"R$ 4.648,84";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"TABATINGA";"R$ 4.725,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"SÃO SEBASTIÃO DO UATUMÃ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"CAAPIRANGA";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"JAPURÁ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"URUCARÁ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"JUTAÍ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"PAUINI";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"UARINI";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"AMATURÁ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"CANUTAMA";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"MARAÃ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"JURUÁ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"SILVES";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"ANAMÃ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"ITAMARATI";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"TAPAUÁ";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"TONANTINS";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"GUAJARÁ";"R$ 5.000,00";
